"filename", "language", "TypeScript JSX", "TypeScript", "Sass", "XML", "comment", "blank", "total"
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ElementsSidemenu\assets\restaurant.svg", "XML", 0, 0, 0, 8, 0, 1, 9
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ElementsSidemenu\assets\square.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ElementsSidemenu\assets\star.svg", "XML", 0, 0, 0, 8, 0, 1, 9
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ElementsSidemenu\assets\whatsapp.svg", "XML", 0, 0, 0, 4, 0, 1, 5
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ElementsSidemenu\index.tsx", "TypeScript JSX", 71, 0, 0, 0, 17, 4, 92
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ElementsSidemenu\style.module.sass", "Sass", 0, 0, 5, 0, 0, 1, 6
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ImagesSidemenu\index.tsx", "TypeScript JSX", 75, 0, 0, 0, 1, 6, 82
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ImagesSidemenu\style.module.sass", "Sass", 0, 0, 7, 0, 0, 1, 8
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\LayersSubmenu\LayerContent\index.tsx", "TypeScript JSX", 25, 0, 0, 0, 0, 3, 28
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\LayersSubmenu\LayerSvg\index.tsx", "TypeScript JSX", 40, 0, 0, 0, 1, 4, 45
